,Tickers
0,ADANIPORTS.NS
1,ASIANPAINT.NS
2,AXISBANK.NS
3,BAJAJ-AUTO.NS
4,BAJFINANCE.NS
5,BAJAJFINSV.NS
6,BPCL.NS
7,BHARTIARTL.NS
8,BRITANNIA.NS
9,CIPLA.NS
10,COALINDIA.NS
11,DIVISLAB.NS
12,DRREDDY.NS
13,EICHERMOT.NS
14,GRASIM.NS
15,HCLTECH.NS
16,HDFCBANK.NS
17,HDFCLIFE.NS
18,HEROMOTOCO.NS
19,HINDALCO.NS
20,HINDUNILVR.NS
21,HDFC.NS
22,ICICIBANK.NS
23,ITC.NS
24,IOC.NS
25,INDUSINDBK.NS
26,INFY.NS
27,JSWSTEEL.NS
28,KOTAKBANK.NS
29,LT.NS
30,M&M.NS
31,MARUTI.NS
32,NTPC.NS
33,NESTLEIND.NS
34,ONGC.NS
35,POWERGRID.NS
36,RELIANCE.NS
37,SBILIFE.NS
38,SHREECEM.NS
39,SBIN.NS
40,SUNPHARMA.NS
41,TCS.NS
42,TATACONSUM.NS
43,TATAMOTORS.NS
44,TATASTEEL.NS
45,TECHM.NS
46,TITAN.NS
47,UPL.NS
48,ULTRACEMCO.NS
49,WIPRO.NS
50,ACC.NS
51,ADANIENT.NS
52,ADANIGREEN.NS
53,ADANITRANS.NS
54,AMBUJACEM.NS
55,APOLLOHOSP.NS
56,AUROPHARMA.NS
57,DMART.NS
58,BAJAJHLDNG.NS
59,BANDHANBNK.NS
60,BANKBARODA.NS
61,BERGEPAINT.NS
62,BIOCON.NS
63,BOSCHLTD.NS
64,CHOLAFIN.NS
65,COLPAL.NS
66,DLF.NS
67,DABUR.NS
68,GAIL.NS
69,GLAND.NS
70,GODREJCP.NS
71,HDFCAMC.NS
72,HAVELLS.NS
73,HINDPETRO.NS
74,ICICIGI.NS
75,ICICIPRULI.NS
76,IGL.NS
77,INDUSTOWER.NS
78,NAUKRI.NS
79,INDIGO.NS
80,JINDALSTEL.NS
81,JUBLFOOD.NS
82,LTI.NS
83,LUPIN.NS
84,MARICO.NS
85,MUTHOOTFIN.NS
86,NMDC.NS
87,PIIND.NS
88,PIDILITIND.NS
89,PEL.NS
90,PGHH.NS
91,PNB.NS
92,SBICARD.NS
93,SIEMENS.NS
94,SAIL.NS
95,TORNTPHARM.NS
96,MCDOWELL-N.NS
97,VEDL.NS
98,YESBANK.NS
